,cell_id,Cell_Depth,Cell_Layer,Cell_TargetedBrainArea,cell_type,firing_rate,ap_threshold,ap_duration,mean_vm,std_vm,fft_low,fft_high,wp_amplitude_pre_FW,wp_amplitude_post_FW,vm_amplitude_pre_FW,vm_amplitude_post_FW,ap_fr_pre_FW,ap_fr_post_FW,wp_amplitude_pre_AT,wp_amplitude_post_AT,vm_amplitude_pre_AT,vm_amplitude_post_AT,ap_fr_pre_AT,ap_fr_post_AT
0,AP032_1,158.0,L2/3,C2,PV,0.875,-0.04079475117773216,0.6089285714285715,-0.06437776473111408,0.005947502278053861,0.0007630806206011714,7.018338664693038e-05,-139.53677739938078,-135.22651640866872,-55.50415542239027,-55.39955984731705,23.24110439374549,27.065589926893487,193.53764031172648,199.91871736058147,-50.443262993266494,-47.84768045514072,34.45793694240046,78.61112095543491
2,AP035_1,188.0,L2/3,C2,PV,2.1,-0.03756243564859375,0.786111111111111,-0.05827315927113142,0.006373929762752708,0.0007745767571784868,5.288109113727105e-05,-131.40695986842107,-125.81132697368423,-54.33465303905217,-59.05684237074894,24.381095273818456,7.501875468867217,193.53764031172645,199.9187173605815,-50.443262993266494,-47.84768045514072,34.45793694240046,78.61112095543491
3,AP035_2,196.0,L2/3,C2,PV,0.9,-0.03169538079383467,0.8495370370370371,-0.055222131621159576,0.006060669858140233,0.0008369418140729768,6.878772964906073e-05,-132.79456842105265,-118.6967447368421,-50.06049641435359,-53.241710248047355,39.17646078186213,19.588230390931066,193.53764031172648,199.9187173605815,-50.443262993266494,-47.84768045514071,34.45793694240045,78.61112095543491
4,AP039_1,160.0,L2/3,C2,SST,0.5666666666666667,-0.040215082494531026,0.8661764705882352,-0.060516883633142275,0.004220243079199722,0.0005134052572894058,5.4187069140740186e-05,-146.46666315789474,-138.43211754385968,-57.92833911161124,-62.28408875135451,0.0,0.0,191.99794880768286,199.7563996003486,-52.285499861605125,-51.649054837692134,8.013646023467118,18.354518047608483
5,AP039_2,176.0,L2/3,C2,SST,1.2747252747252746,-0.03968324613551654,0.7668103448275864,-0.06443765798966383,0.005903983735245558,0.0007188565513169434,5.905398700772535e-05,-148.67983481781377,-140.6017643724696,-49.70969668119739,-54.663018667117605,5.001250312578146,1.1541346875180334,191.99794880768283,199.7563996003486,-52.28549986160512,-51.64905483769214,8.013646023467118,18.354518047608483
6,AP040_1,204.0,L2/3,C2,SST,26.771428571428572,-0.03778633227548316,0.6136606189967982,-0.04544584364862761,0.005674471178797295,0.0007068898473244111,7.87107562959701e-05,-141.00184736842107,-135.2672403508772,-52.63271391431191,-54.8693890489289,3.3341668750520963,3.3341668750520963,191.99794880768283,199.7563996003486,-52.28549986160512,-51.649054837692134,8.013646023467118,18.354518047608483
7,AP040_2,210.0,L2/3,C2,SST,26.690140845070424,-0.029954324666390145,1.0489973614775725,-0.038182093659697894,0.010188907227045614,0.0009274617485880048,0.00010479444944334142,-141.12103900928793,-134.6122229102167,-63.235848934292406,-65.04805656693584,1.1767647794301517,0.0,191.99794880768283,199.75639960034863,-52.28549986160512,-51.649054837692134,8.013646023467118,18.354518047608487
8,AP040_3,192.0,L2/3,C2,SST,2.2,-0.03929690983987691,0.4712121212121213,-0.04886792349367053,0.0036043649707376306,0.00038416669539685503,3.063278507124017e-05,-139.92475789473684,-131.8963759398496,-60.62490979566321,-62.00046540135034,0.7144643303683063,0.0,191.99794880768286,199.7563996003486,-52.28549986160512,-51.64905483769213,8.013646023467118,18.354518047608487
9,AP056_1,128.0,L2/3,C2,SST,1.858695652173913,-0.045003967477724095,0.3213450292397661,-0.06000857859565572,0.0038660862269251977,0.00047153860554486536,7.65035335013981e-05,-140.52435986842102,-132.76773157894738,-49.62200405286014,-54.22631962998041,4.584479453196631,0.20838542969075602,191.99794880768283,199.75639960034863,-52.28549986160512,-51.64905483769212,8.013646023467118,18.354518047608483
10,AP056_2,178.0,L2/3,C2,SST,2.0833333333333335,-0.04270490632305334,0.2763999999999999,-0.05623449486537189,0.0035257971879181903,0.000381359969301534,5.6172767803261566e-05,-138.30713490304709,-129.54978836565098,-58.85491396321448,-61.939798122241086,1.8425659046340532,0.5264474013240152,191.99794880768283,199.75639960034857,-52.28549986160512,-51.64905483769213,8.013646023467118,18.354518047608483
